Date,Time,Opponent,Competition,Venue,Result,GS,GC,Poss, Attendance 
17/08/2024,12:30,Ipswich Town,Premier League,Away,W,2,0,62,"30,014"
25/08/2024,16:30,Brentford,Premier League,Home,W,2,0,62,"60,017"
01/09/2024,16:00,Manchester Utd,Premier League,Away,W,3,0,47,"73,738"
14/09/2024,15:00,Nott'ham Forest,Premier League,Home,L,0,1,68,"60,344"
21/09/2024,15:00,Bournemouth,Premier League,Home,W,3,0,58,"60,347"
28/09/2024,17:30,Wolves,Premier League,Away,W,2,1,55,"31,413"
05/10/2024,12:30,Crystal Palace,Premier League,Away,W,1,0,68,"25,185"
20/10/2024,16:30,Chelsea,Premier League,Home,W,2,1,43,"60,277"
27/10/2024,16:30,Arsenal,Premier League,Away,D,2,2,55,"60,383"
02/11/2024,15:00,Brighton,Premier League,Home,W,2,1,49,"60,331"
09/11/2024,20:00,Aston Villa,Premier League,Home,W,2,0,62,"60,292"
24/11/2024,14:00,Southampton,Premier League,Away,W,3,2,62,"31,278"
01/12/2024,16:00,Manchester City,Premier League,Home,W,2,0,44,"60,248"
04/12/2024,19:30,Newcastle Utd,Premier League,Away,D,3,3,58,"52,237"
14/12/2024,15:00,Fulham,Premier League,Home,D,2,2,61,"60,333"
22/12/2024,16:30,Tottenham,Premier League,Away,W,6,3,48,"61,439"
26/12/2024,20:00,Leicester City,Premier League,Home,W,3,1,68,"60,300"
29/12/2024,17:15,West Ham,Premier League,Away,W,5,0,54,"62,476"
05/01/2025,16:30,Manchester Utd,Premier League,Home,D,2,2,53,"60,275"
14/01/2025,20:00,Nott'ham Forest,Premier League,Away,D,1,1,70,"30,249"
18/01/2025,15:00,Brentford,Premier League,Away,W,2,0,60,"17,215"
25/01/2025,15:00,Ipswich Town,Premier League,Home,W,4,1,70,"60,420"
01/02/2025,15:00,Bournemouth,Premier League,Away,W,2,0,51,"11,239"
12/02/2025,19:30,Everton,Premier League,Away,D,2,2,63,"39,280"
16/02/2025,14:00,Wolves,Premier League,Home,W,2,1,50,"60,248"
19/02/2025,19:30,Aston Villa,Premier League,Away,D,2,2,48,"41,910"
23/02/2025,16:30,Manchester City,Premier League,Away,W,2,0,34,"52,803"
26/02/2025,20:15,Newcastle Utd,Premier League,Home,W,2,0,61,"60,374"
08/03/2025,15:00,Southampton,Premier League,Home,W,3,1,71,"60,399"
02/04/2025,20:00,Everton,Premier League,Home,W,1,0,73,"60,457"
06/04/2025,14:00,Fulham,Premier League,Away,L,2,3,63,"27,770"
13/04/2025,14:00,West Ham,Premier League,Home,W,2,1,55,"60,376"
20/04/2025,16:30,Leicester City,Premier League,Away,W,1,0,58,"30,402"
27/04/2025,16:30,Tottenham,Premier League,Home,W,5,1,61,"60,415"
04/05/2025,16:30,Chelsea,Premier League,Away,L,1,3,64,"39,829"
11/05/2025,16:30,Arsenal,Premier League,Home,D,2,2,45,"60,324"
19/05/2025,20:00,Brighton,Premier League,Away,L,2,3,51,"31,611"
25/05/2025,16:00,Crystal Palace,Premier League,Home,D,1,1,69,"60,382"
